ID,condition,recallcollect,instructioncollect,trialcollect,correctcollect
1,m2,J,J,21,1
1,m2,J,J,21,1
1,m2,D,D,21,1
1,m2,D,D,21,1
1,m2,J,J,21,1
1,m2,J,J,21,1
1,m2,J,J,21,1
1,m2,J,J,21,1
1,m2,D,D,21,1
1,m2,K,K,22,1
1,m2,K,K,22,1
1,m2,K,K,22,1
1,m2,J,J,22,1
1,m2,J,J,22,1
1,m2,K,K,22,1
1,m2,K,K,22,1
1,m2,J,J,22,1
1,m2,J,J,22,1
1,m2,J,J,22,1
1,m2,J,J,22,1
1,m2,K,K,22,1
1,m2,D,D,23,1
1,m2,D,D,23,1
1,m2,S,D,23,0
1,m2,S,S,23,1
1,m2,D,S,23,0
1,m2,D,D,23,1
1,m2,S,D,23,0
1,m2,S,S,23,1
1,m2,S,S,23,1
1,m2,S,S,23,1
1,m2,S,S,23,1
1,m2,D,D,23,1
1,m2,J,J,24,1
1,m2,J,J,24,1
1,m2,S,J,24,0
1,m2,S,S,24,1
1,m2,J,S,24,0
1,m2,J,J,24,1
1,m2,S,J,24,0
1,m2,S,S,24,1
1,m2,S,S,24,1
1,m2,S,S,24,1
1,m2,J,S,24,0
1,m2,J,J,24,1
1,m2,J,J,25,1
1,m2,D,J,25,0
1,m2,D,J,25,0
1,m2,D,D,25,1
1,m2,D,D,25,1
1,m2,D,J,25,0
1,m2,D,J,25,0
1,m2,D,D,25,1
1,m2,J,D,25,0
1,m2,J,D,25,0
1,m2,D,D,25,1
1,m2,D,J,25,0
1,m2,K,K,26,1
1,m2,K,K,26,1
1,m2,K,K,26,1
1,m2,S,S,26,1
1,m2,S,S,26,1
1,m2,K,K,26,1
1,m2,K,K,26,1
1,m2,S,S,26,1
1,m2,S,S,26,1
1,m2,S,S,26,1
1,m2,S,S,26,1
1,m2,K,K,26,1
1,m2,J,J,27,1
1,m2,J,J,27,1
1,m2,S,J,27,0
1,m2,S,S,27,1
1,m2,J,S,27,0
1,m2,J,J,27,1
1,m2,J,J,27,1
1,m2,S,S,27,1
1,m2,S,S,27,1
1,m2,S,S,27,1
1,m2,J,S,27,0
1,m2,J,J,27,1
1,m2,D,D,28,1
1,m2,D,D,28,1
1,m2,S,D,28,0
1,m2,S,S,28,1
1,m2,D,S,28,0
1,m2,D,D,28,1
1,m2,D,D,28,1
1,m2,S,S,28,1
1,m2,S,S,28,1
1,m2,D,S,28,0
1,m2,D,S,28,0
1,m2,D,D,28,1
1,m2,J,J,29,1
1,m2,J,J,29,1
1,m2,S,J,29,0
1,m2,S,S,29,1
1,m2,J,S,29,0
1,m2,J,J,29,1
1,m2,S,J,29,0
1,m2,S,S,29,1
1,m2,S,S,29,1
1,m2,S,S,29,1
1,m2,J,S,29,0
1,m2,J,J,29,1
1,m2,S,S,30,1
1,m2,S,S,30,1
1,m2,D,S,30,0
1,m2,D,D,30,1
1,m2,S,D,30,0
1,m2,S,S,30,1
1,m2,D,S,30,0
1,m2,D,D,30,1
1,m2,D,D,30,1
1,m2,D,D,30,1
1,m2,S,D,30,0
1,m2,S,S,30,1
1,m2,S,S,31,1
1,m2,S,S,31,1
1,m2,S,S,31,1
1,m2,J,J,31,1
1,m2,J,J,31,1
1,m2,S,S,31,1
1,m2,S,S,31,1
1,m2,J,J,31,1
1,m2,J,J,31,1
1,m2,J,J,31,1
1,m2,J,J,31,1
1,m2,S,S,31,1
1,m2,J,J,32,1
1,m2,J,J,32,1
1,m2,S,J,32,0
1,m2,S,S,32,1
1,m2,J,S,32,0
1,m2,J,J,32,1
1,m2,S,J,32,0
1,m2,S,S,32,1
1,m2,S,S,32,1
1,m2,S,S,32,1
1,m2,J,S,32,0
1,m2,J,J,32,1
1,m2,K,K,33,1
1,m2,K,K,33,1
1,m2,K,K,33,1
1,m2,D,D,33,1
1,m2,D,D,33,1
1,m2,K,K,33,1
1,m2,K,K,33,1
1,m2,D,D,33,1
1,m2,D,D,33,1
1,m2,D,D,33,1
1,m2,D,D,33,1
1,m2,K,K,33,1
1,m2,S,S,34,1
1,m2,S,S,34,1
1,m2,D,S,34,0
1,m2,D,D,34,1
1,m2,S,D,34,0
1,m2,S,S,34,1
1,m2,D,S,34,0
1,m2,D,D,34,1
1,m2,D,D,34,1
1,m2,D,D,34,1
1,m2,S,D,34,0
1,m2,S,S,34,1
1,m2,K,K,35,1
1,m2,K,K,35,1
1,m2,K,K,35,1
1,m2,D,D,35,1
1,m2,D,D,35,1
1,m2,K,K,35,1
1,m2,K,K,35,1
1,m2,D,D,35,1
1,m2,D,D,35,1
1,m2,D,D,35,1
1,m2,D,D,35,1
1,m2,K,K,35,1
1,m2,D,D,36,1
1,m2,D,D,36,1
1,m2,D,D,36,1
1,m2,S,S,36,1
1,m2,S,S,36,1
1,m2,D,D,36,1
1,m2,D,D,36,1
1,m2,S,S,36,1
1,m2,S,S,36,1
1,m2,S,S,36,1
1,m2,S,S,36,1
1,m2,D,D,36,1
1,m2,K,K,37,1
1,m2,D,K,37,0
1,m2,D,K,37,0
1,m2,D,D,37,1
1,m2,D,D,37,1
1,m2,D,K,37,0
1,m2,K,K,37,1
1,m2,D,D,37,1
1,m2,K,D,37,0
1,m2,K,D,37,0
1,m2,D,D,37,1
1,m2,D,K,37,0
1,m2,D,D,38,1
1,m2,D,D,38,1
1,m2,S,D,38,0
1,m2,S,S,38,1
1,m2,D,S,38,0
1,m2,D,D,38,1
1,m2,S,D,38,0
1,m2,S,S,38,1
1,m2,S,S,38,1
1,m2,S,S,38,1
1,m2,D,S,38,0
1,m2,S,D,38,0
1,m2,D,D,39,1
1,m2,J,D,39,0
1,m2,D,D,39,1
1,m2,D,J,39,0
1,m2,J,J,39,1
1,m2,J,D,39,0
1,m2,D,D,39,1
1,m2,D,J,39,0
1,m2,D,J,39,0
1,m2,J,J,39,1
1,m2,J,J,39,1
1,m2,J,D,39,0
1,m2,S,S,40,1
1,m2,S,S,40,1
1,m2,S,S,40,1
1,m2,K,K,40,1
1,m2,K,K,40,1
1,m2,S,S,40,1
1,m2,S,S,40,1
1,m2,K,K,40,1
1,m2,K,K,40,1
1,m2,K,K,40,1
1,m2,K,K,40,1
1,m2,K,S,40,0
1,m2,L,L,41,1
1,m2,L,L,41,1
1,m2,L,L,41,1
1,m2,F,F,41,1
1,m2,F,F,41,1
1,m2,L,L,41,1
1,m2,L,L,41,1
1,m2,L,F,41,0
1,m2,F,F,41,1
1,m2,F,F,41,1
1,m2,L,F,41,0
1,m2,L,L,41,1
1,m2,F,F,42,1
1,m2,F,F,42,1
1,m2,L,F,42,0
